postcode,suburb,state,dc,type
200,AUSTRALIAN NATIONAL UNIVERSITY,ACT,AUSTRALIAN NATIONAL UNI LPO,Post Office Boxes                            
221,BARTON,ACT,NULL,LVR                                          
800,DARWIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
801,DARWIN,NT,DARWIN DELIVERY CENTRE,Post Office Boxes                            
804,PARAP,NT,PARAP,Post Office Boxes                            
810,ALAWA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,BRINKIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,CASUARINA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,JINGILI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,LEE POINT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,MILLNER,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,MOIL,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,NAKARA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,NIGHTCLIFF,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,RAPID CREEK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,TIWI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,WAGAMAN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
810,WANGURI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
811,CASUARINA,NT,CASUARINA,Post Office Boxes                            
812,KARAMA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
812,LEANYER,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
812,MALAK,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
812,MARRARA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
812,WULAGI,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
814,NIGHTCLIFF,NT,NIGHTCLIFF,Post Office Boxes                            
820,BAGOT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,BAYVIEW,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,CHARLES DARWIN,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,COONAWARRA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,CULLEN BAY,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,EAST POINT,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,FANNIE BAY,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,LARRAKEYAH,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,LUDMILLA,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
820,PARAP,NT,DARWIN DELIVERY CENTRE,Delivery Area                                
